Year,Total,Deaths,Births,UK born,Non-UK born
1981,732414,0,0,0,366207,366207
1982,732415,0,8108,8110,370218,362197
1983,732416,0,8048,8049,374174,358242
1984,732417,0,7824,7825,378086,354331
1985,732418,0,7693,7694,381883,350534
1986,732418,0,7573,7573,385629,346789
1987,732419,0,7578,7579,389406,343012
1988,732420,0,7260,7261,392986,339433
1989,732420,0,7162,7162,396531,335889
1990,732421,0,7217,7218,400105,332315
1991,732422,0,7120,7121,403658,328763
1992,732422,0,7073,7074,407209,325213
1993,732423,0,6992,6993,410684,321739
1994,732424,0,6989,6990,414149,318275
1995,732424,0,6954,6955,417568,314856
1996,732425,0,6867,6868,421010,311414
1997,732426,0,6914,6915,424438,307988
1998,732427,0,6929,6930,427843,304584
1999,732427,0,6964,6965,431265,301161
2000,732428,0,6961,6962,434720,297708
2001,732429,0,6869,6870,438094,294334
2002,732429,0,6866,6867,441463,290966
2003,732430,0,6874,6875,444865,287564
2004,732430,0,6921,6922,448309,284121
2005,732431,0,6986,6987,451766,280665
2006,732432,0,6877,6877,455109,277323
2007,732433,0,6850,6851,458476,273956
2008,732433,0,6920,6921,461909,270524
2009,732434,0,7049,7049,465393,267041
2010,732435,0,7071,7072,468879,263555
2011,732436,0,7025,7026,472371,260064
2012,732436,0,6988,6989,475830,256606
2013,732437,0,7165,7165,479356,253080
2014,732437,0,7284,7284,482884,249553
2015,732438,0,7493,7494,486477,245961
2016,732439,0,7526,7527,490011,242427
2017,732440,0,7651,7651,493589,238850
2018,732440,0,7924,7925,497247,235193
2019,732441,0,8024,8024,500988,231452
2020,732441,0,8308,8309,504772,227669
2021,732442,0,8435,8436,508591,223851
2022,732443,0,8635,8635,512517,219926
2023,732444,0,8916,8917,516484,215959
2024,732444,0,9165,9166,520555,211889
2025,732445,0,9344,9344,524645,207800
2026,732446,0,9580,9581,528817,203628
2027,732447,0,9798,9799,533060,199386
2028,732447,0,10100,10100,537358,195089
2029,732448,0,10359,10360,541747,190700
2030,732448,0,10571,10572,546250,186198
2031,732449,0,10814,10814,550835,181614
2032,732450,0,11076,11077,555512,176937
2033,732451,0,11478,11479,560266,172185
2034,732451,0,11664,11665,565065,167385
2035,732452,0,11876,11877,569964,162487
2036,732453,0,12229,12229,574974,157479
2037,732454,0,12303,12304,579932,152521
2038,732454,0,12604,12604,584938,147516
2039,732455,0,12734,12735,590034,142420
2040,732455,0,12879,12880,595133,137322
2041,732456,0,12982,12983,600197,132258
2042,732457,0,13193,13194,605286,127170
2043,732458,0,13296,13297,610350,122107
2044,732458,0,13324,13324,615383,117075
2045,732459,0,13303,13304,620354,112104
2046,732460,0,13363,13364,625279,107180
2047,732460,0,13308,13309,630107,102353
2048,732461,0,13251,13252,634819,97642
2049,732462,0,13166,13166,639469,92992
2050,732462,0,13106,13107,643986,88476
